id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8889257,Elegance in Historic Queen Anne,25899989,Ellie,Queen Anne,Queen Anne,47.62950681,-122.3676293,Entire home/apt,165.00,2,3,2016-01-02,3,1,337,3,
5680462,Stunning 6 bd in THE BEST Location!,22372266,Sarah,Queen Anne,Queen Anne,47.63920266,-122.3658627,Entire home/apt,461.00,3,18,2015-11-15,2.65,1,327,18,
8988178,"Lovely Queen Anne Cottage, 2 BR",2983711,Paige,Queen Anne,,47.63564979,-122.3728928,Entire home/apt,109.00,3,1,2015-11-25,0.73,1,69,1,
3245876,Park Life in Lower Queen Anne,9465817,Libby,Queen Anne,Queen Anne,47.62620037,-122.3666019,Private room,66.00,1,84,2016-01-02,4.55,1,364,84,
4933447,"Private Garden Suite, Bay View",25417834,Markus And Melissa,Queen Anne,Queen Anne,47.64064588,-122.3724059,Private room,99.00,2,45,2015-11-06,4.58,1,171,45,
7735464,Queen Anne Getaway Near Seattle!,6170760,Sam,Queen Anne,Queen Anne,47.63977587,-122.3722354,Private room,200.00,1,0,,,1,125,0,
6291829,Grand Craftsman Home on Queen Anne,32713558,Kary,Queen Anne,Queen Anne,47.63602478,-122.3586936,Entire home/apt,700.00,3,5,2015-08-10,0.82,1,359,5,
9218403,Queen Anne View One Bedroom,14100483,Annie,Queen Anne,,47.62794034,-122.3649587,Entire home/apt,110.00,1,1,2016-01-03,1,1,360,1,
4125779,Cozy Queen Anne Finished Basement,21401856,Nick,Queen Anne,Queen Anne,47.63637426,-122.3610334,Private room,99.00,1,11,2015-10-18,0.71,1,365,11,
8942678,Lovely Queen Anne home,46675077,Susanna,Queen Anne,Queen Anne,47.63563222,-122.3588809,Entire home/apt,450.00,4,1,2015-12-01,0.86,1,53,1,
10106055,"Cozy Lower Level, Upper Queen Anne",51860756,Maggie & Alex,Queen Anne,Queen Anne,47.63339396,-122.3719199,Private room,75.00,1,0,,,1,365,0,
6362362,Charming home on Queen Anne,33147763,Tracy,Queen Anne,Queen Anne,47.63851671,-122.369581,Entire home/apt,600.00,3,1,2015-07-20,0.18,1,212,1,
3544550,VIEW-Monthly Rental Available,16708587,Jill,Queen Anne,Queen Anne,47.63139735,-122.3677669,Entire home/apt,450.00,4,8,2015-09-02,1.3,2,293,8,
9025039,Cute Bungalow-Close to Everything!,68155,Lori,Queen Anne,Queen Anne,47.63875224,-122.3679727,Entire home/apt,150.00,1,0,,,1,49,0,
3200646,Micro Gypsy Wagon on Queen Anne,4016632,Jean-Marc,Queen Anne,Queen Anne,47.63926602,-122.3747258,Private room,45.00,2,80,2016-01-02,4.38,5,107,80,
8859380,STUNNING VIEW of Puget Sound,3792761,Kimberly,Queen Anne,Queen Anne,47.62990712,-122.3689481,Entire home/apt,300.00,2,6,2016-01-02,2.47,1,356,6,
4520099,Open Airy Queen Anne Condo,6184895,Lana,Queen Anne,Queen Anne,47.63981587,-122.3743385,Entire home/apt,80.00,2,4,2015-07-25,0.33,1,305,4,
2481869,Airy + Bright Queen Anne Cottage,5177328,Andrea,Queen Anne,Queen Anne,47.63900778,-122.3653201,Entire home/apt,175.00,2,38,2015-10-11,1.86,6,323,38,
1110749,Queen Anne 3 bed near everything,5325329,Blair,Queen Anne,Queen Anne,47.63508504,-122.3644435,Entire home/apt,325.00,2,68,2015-12-21,2.18,8,162,68,
5978498,1914 Stunner View Ocean Mountain,31037494,Silvia,Queen Anne,Queen Anne,47.64063323,-122.3727094,Entire home/apt,175.00,4,8,2015-12-03,1.31,1,213,8,
5021081,Seattle Queen Anne Beauty,25906186,Vacation,Queen Anne,Queen Anne,47.63812149,-122.37579,Entire home/apt,222.00,2,5,2015-11-12,0.99,1,2,5,
1686930,The Hideaway- Queen Anne/downtown,8916363,Paige,Queen Anne,Queen Anne,47.62981553,-122.3662123,Entire home/apt,159.00,1,62,2015-12-07,2.27,1,309,62,
7680289,QUEEN ANNE VIEW ONE! - SEATTLE,40335071,Kevin,Queen Anne,Queen Anne,47.63981019,-122.3738006,Entire home/apt,125.00,2,19,2015-11-29,4.35,2,353,19,
7207641,"URBAN SANCTUARY, 3BR, QUEEN ANNE",6544973,Joe & Anna,Queen Anne,Queen Anne,47.63556952,-122.3616526,Entire home/apt,348.00,3,5,2015-09-03,0.97,1,153,5,
5062445,Cozy Homebase Close to Downtown,21072725,Chris,Queen Anne,Queen Anne,47.63497873,-122.3588694,Private room,45.00,1,7,2015-12-08,0.9,1,363,7,
8925878,VIEW QUEEN ANNE! - VINTAGE SEATTLE,40335071,Kevin,Queen Anne,Queen Anne,47.6393621,-122.3724026,Entire home/apt,150.00,2,2,2015-12-18,0.83,2,351,2,
6389657,Cute little Seattle Studio!,2052160,Ruth,Queen Anne,Queen Anne,47.63461628,-122.3580227,Entire home/apt,80.00,3,11,2015-08-19,1.98,1,201,11,
4218733,Walker's Dream on Queen Anne Hill,21896205,Henry,Queen Anne,Queen Anne,47.63800138,-122.3610048,Entire home/apt,110.00,2,71,2016-01-01,4.7,1,351,71,
2715623,"DARLING VINTAGE COTTAGE, QUEEN ANNE",8242272,Debera,Queen Anne,Queen Anne,47.63199585,-122.3716577,Entire home/apt,148.00,3,9,2015-10-29,0.46,1,310,9,
1392332,Modern Eco-Friendly View Retreat,2315558,Holly,Queen Anne,Queen Anne,47.63868624,-122.3707999,Entire home/apt,350.00,2,41,2015-07-31,1.38,1,308,41,
7308567,Beautiful 1 Bedrm in Queen Anne,17597607,Nicole,Queen Anne,Queen Anne,47.63365004,-122.3604497,Entire home/apt,150.00,2,18,2015-12-31,3.35,1,339,18,
6575380,One bedroom with Lounge,34392395,Sam,Queen Anne,Queen Anne,47.63430018,-122.3570598,Private room,150.00,1,9,2015-09-20,1.99,1,285,9,
6004058,LOWER QUEEN ANNE STUDIO W/PATIO,9031463,Marina,Queen Anne,Queen Anne,47.62834387,-122.3664054,Entire home/apt,100.00,1,20,2016-01-02,2.29,1,87,20,
9550869,Queen Anne Craftsman,12867960,Maureen,Queen Anne,Queen Anne,47.63539394,-122.3689911,Entire home/apt,349.00,1,0,,,1,354,0,
8515408,Queen Anne Hill Craftsman studio,3502513,Jennifer,Queen Anne,Queen Anne,47.63803516,-122.3609101,Entire home/apt,110.00,2,3,2015-12-31,1.06,1,89,3,
5383192,Craftsman House Near Everything,27606550,Christine,Queen Anne,Queen Anne,47.63933159,-122.3615994,Entire home/apt,160.00,2,1,2015-06-29,0.16,1,295,1,
1112092,Seattle Backyard Cottage-Queen Anne,5856339,Annie,Queen Anne,Queen Anne,47.63530805,-122.3665317,Entire home/apt,130.00,3,26,2015-12-29,0.8,1,89,26,
7772661,:: Carriage House :: Queen Anne ::,40885963,Michael,Queen Anne,Queen Anne,47.63737488,-122.3694109,Entire home/apt,99.00,1,2,2015-12-21,2,1,142,2,
9254900,STUDIO APARTMENT WITH A VIEW,27128936,Anisa,Queen Anne,,47.63829757,-122.3737787,Entire home/apt,100.00,1,0,,,1,29,0,
7714294,Top Floor Apt. W/ Spectacular View!,3521823,Elise,Queen Anne,Queen Anne,47.63175344,-122.3712717,Entire home/apt,137.00,2,3,2015-09-03,0.64,2,303,3,
10310373,"Cozy, cute, Queen Anne living",53050379,Ana,Queen Anne,Queen Anne,47.63858056,-122.3753257,Private room,20.00,1,0,,,1,351,0,
9368342,"Beautiful, Modern Townhouse",1039322,Manomi,Queen Anne,Queen Anne,47.63788372,-122.3673711,Entire home/apt,150.00,4,0,,,1,212,0,
6361863,Located in the heart of Queen Anne,25150356,Kurt & Anna,Queen Anne,Queen Anne,47.63751735,-122.3608117,Entire home/apt,145.00,2,44,2016-01-01,5.64,1,331,44,
8105221,Cozy room in Modern Queen Anne Home,15155647,Shiri,Queen Anne,Queen Anne,47.63687418,-122.3722717,Private room,80.00,1,10,2015-11-29,2.5,1,364,10,
3269390,Stand alone Guest Cottage,12171359,Diane,Queen Anne,Queen Anne,47.63256274,-122.3672228,Entire home/apt,95.00,3,77,2015-12-28,4.12,1,321,77,
4566393,Beautiful West Queen Anne Craftsman,23669617,Irmela,Queen Anne,Queen Anne,47.63532192,-122.3661211,Entire home/apt,400.00,2,0,,,1,365,0,
9282409,Bright & Airy room w/ 1M views,560743,Zachary,Queen Anne,Queen Anne,47.63263391,-122.3693184,Private room,85.00,2,2,2015-12-12,1.3,1,247,2,
8095168,Private room in upper QA w/ view!,3521823,Elise,Queen Anne,Queen Anne,47.63260004,-122.3699524,Private room,70.00,1,1,2015-09-08,0.25,2,103,1,
2746782,Suite Garage on Queen Anne,4016632,Jean-Marc,Queen Anne,Queen Anne,47.64105215,-122.3750817,Entire home/apt,90.00,2,109,2015-12-29,5.24,5,103,109,
6424982,Peaceful Queen Anne Getaway,33524725,Ruth,Queen Anne,Queen Anne,47.63140095,-122.3676901,Private room,80.00,1,52,2016-01-02,7.06,1,345,52,
762029,Hand crafted Gypsy Wagon with heart,4016632,Jean-Marc,Queen Anne,Queen Anne,47.64152493,-122.3761504,Private room,60.00,2,191,2016-01-01,4.96,5,102,191,
8988281,Cozy 2 BR/1 BA Queen Anne Home,46954097,Nell & Andreas,Queen Anne,Queen Anne,47.6353107,-122.3635056,Entire home/apt,175.00,1,0,,,1,48,0,
7077910,"Modern Townhouse, Heart of Ballard!",2843411,Dina,Ballard,,47.66932717,-122.3925936,Entire home/apt,170.00,4,9,2015-11-29,1.82,1,27,9,
3772674,Cozy Ballard Apartment,18232665,Kim,Ballard,Ballard,47.67407416,-122.3938641,Entire home/apt,85.00,3,65,2015-12-14,3.94,1,347,65,
7021906,Plum Modern - 5 bdrm Tranquility,28770702,Mercy,Ballard,Ballard,47.67362807,-122.389302,Entire home/apt,465.00,3,5,2015-12-16,1.38,1,175,5,
7618605,1BR-Ultra Hip Ballard-Walk to Bars!,5326074,Mckinzy,Ballard,Ballard,47.66845996,-122.379516,Entire home/apt,175.00,1,5,2015-12-01,1.01,1,94,5,
10234558,Cozy BR in heart of lively Ballard,31887689,Sophia,Ballard,,47.67066232,-122.3786659,Private room,50.00,1,0,,,1,355,0,
7021702,"Modern, Cozy 1 Bedroom Apartment",36805437,Brooke,Ballard,Ballard,47.67264618,-122.389333,Private room,60.00,1,0,,,1,166,0,
7680439,Urban cottage in heart of Ballard,1612983,Andrea,Ballard,Ballard,47.67317538,-122.3822596,Private room,59.00,1,16,2015-12-20,3.29,1,360,16,
4258515,**Be in the MIDDLE OF EVERYTHING!*,841009,Lauren,Ballard,Ballard,47.667933,-122.3786525,Private room,47.00,1,23,2015-10-08,3.07,1,89,23,
1148517,Cute Cottage in Sunny Ballard,6296335,Fleur,Ballard,Ballard,47.67296864,-122.3973382,Entire home/apt,145.00,2,45,2015-09-21,1.44,1,88,45,
2487892,Two blocks from downtown Ballard,1343908,Martin,Ballard,Ballard,47.66862742,-122.3894959,Private room,70.00,1,75,2015-12-20,3.46,1,343,75,
3038772,"Cozy Private Room, Bath and Patio",15473800,Lisa,Ballard,Ballard,47.67011138,-122.3938693,Private room,55.00,2,86,2016-01-01,4.43,1,348,86,
699460,Ballard Artist's Studio,3587674,Patti And Benson,Ballard,Ballard,47.6716905,-122.3852391,Private room,95.00,2,151,2015-12-18,3.85,1,327,151,
4085439,Historic Ballard House,21066328,Debra,Ballard,Ballard,47.67083618,-122.3925371,Private room,125.00,1,6,2015-05-29,0.38,1,345,6,
8053990,Nautical Bedroom in Modern House,23228606,Elin,Ballard,Ballard,47.67088677,-122.3930293,Private room,65.00,1,16,2015-12-13,3.75,3,354,16,
7011773,Pull out couch in garage,23228606,Elin,Ballard,Ballard,47.67011497,-122.3929944,Private room,25.00,1,0,,,3,55,0,
2467550,Tiny Ballard House Near Transit,811494,Alexis,Ballard,Ballard,47.67430793,-122.3767423,Entire home/apt,40.00,5,0,,,1,48,0,
2686374,Bunkhouse Topbunk/Airstream Retreat,2231298,Chris,Ballard,Ballard,47.67125039,-122.3826391,Entire home/apt,149.00,1,165,2016-01-02,7.84,2,354,165,
1956274,Sweet Ballard Apartment for Two,7466082,Vera,Ballard,Ballard,47.66869206,-122.3960894,Entire home/apt,125.00,3,48,2015-12-01,2.11,1,354,48,
8537192,Charming Old Ballard Bungalow (2/2),43954674,Brian,Ballard,Ballard,47.67180552,-122.3880471,Private room,55.00,1,0,,,2,247,0,
5919096,Ballard Victorian 900 sq ft apt,53050,Bob,Ballard,Ballard,47.6714184,-122.3853854,Entire home/apt,129.00,5,2,2015-06-01,0.26,2,215,2,
6516529,"One-bedroom Apartment, Ballard",3781927,Katharine,Ballard,Ballard,47.66874895,-122.38387,Entire home/apt,100.00,1,0,,,1,199,0,
3294243,Beautiful Ballard condo with view!,4970133,Paula,Ballard,Ballard,47.67268172,-122.3877307,Entire home/apt,150.00,2,27,2015-10-14,1.48,1,258,27,
10210971,Bedroom & private bath in Ballard,24709547,Daniel,Ballard,,47.66968185,-122.3909885,Private room,50.00,1,0,,,1,363,0,
3584790,2 Bedrm Apt in the heart of Ballard,2882219,John And Alicia,Ballard,Ballard,47.67504404,-122.3827149,Entire home/apt,99.00,5,0,,,1,2,0,
1266459,Pretty Condo in Downtown Ballard,2317654,Dahlia,Ballard,Ballard,47.66797917,-122.3821054,Entire home/apt,150.00,2,9,2015-07-17,0.3,1,335,9,
9098059,Loft bedroom & art studio,43954674,Brian,Ballard,Ballard,47.67324985,-122.3873317,Entire home/apt,105.00,2,0,,,2,17,0,
408526,Chic 3 bed 4 bath Ballard townhome,2034501,Vivian,Ballard,Ballard,47.67553327,-122.376324,Entire home/apt,218.00,14,0,,,1,365,0,
4118282,"Private, clean, spacious Townhome",19071753,Julien,Ballard,Ballard,47.67570811,-122.3875594,Entire home/apt,80.00,1,88,2016-01-02,6.07,1,80,88,
6813483,Victorian Charm in Heart of Ballard,35674639,Beverly,Ballard,Ballard,47.67477103,-122.3858305,Entire home/apt,126.00,2,10,2015-12-26,1.75,1,275,10,
6590264,Modern Ballard Apt 4 Tech Travlers,24500821,Tim,Ballard,Ballard,47.66987432,-122.3877174,Entire home/apt,115.00,1,5,2015-11-13,0.82,1,56,5,
2650482,Modern family home in Old Ballard,205007,Martin And Taryn,Ballard,Ballard,47.67097576,-122.3878253,Entire home/apt,225.00,2,10,2015-08-07,0.64,1,365,10,
20927,Cottage in the Heart of Ballard,79450,Brad & Liz,Ballard,Ballard,47.67333939,-122.3951203,Entire home/apt,89.00,2,244,2015-12-26,3.64,2,341,244,
4395578,Ballard Townhome - Pet Friendly!,430709,Sea To Sky Rentals,Ballard,Ballard,47.67100489,-122.3813814,Entire home/apt,225.00,3,1,2015-03-29,0.11,31,331,1,
4995903,Ballard Cottage with Loft,13535511,Megan,Ballard,Ballard,47.67170353,-122.3763381,Entire home/apt,50.00,1,0,,,1,60,0,
5549211,Plum Apartment,28770702,Mercy,Ballard,Ballard,47.67175997,-122.3900201,Entire home/apt,134.00,3,40,2016-01-03,4.05,1,295,40,
8240758,Spacious Ballard Apt: Walk to All!,15785670,Emily,Ballard,Ballard,47.67481867,-122.3875212,Entire home/apt,75.00,3,2,2015-10-04,0.62,1,94,2,
6856295,Pvt. Entrance Bedroom&Bath-Ballard,34872403,Pallavi,Ballard,Ballard,47.67300401,-122.3850048,Private room,65.00,1,46,2016-01-01,6.87,1,364,46,
6881188,Ballard Townhouse Near The Locks,33225983,Jean,Ballard,Ballard,47.67039453,-122.393897,Entire home/apt,375.00,1,23,2015-12-30,3.75,1,363,23,
1579615,"Ballard, Seattle Cozy Studio Apt.",8403307,Mario,Ballard,Ballard,47.67582152,-122.3897101,Entire home/apt,97.00,2,44,2015-12-21,1.55,1,340,44,
3766866,Condo in Hip Ballard WALK,19296907,J.Lynn,Ballard,Ballard,47.67228446,-122.3823135,Entire home/apt,145.00,2,14,2015-12-31,0.82,1,88,14,
2406966,Renovated 2 bedroom in old Ballard,53050,Bob,Ballard,Ballard,47.67227237,-122.3841322,Entire home/apt,129.00,5,12,2015-10-29,0.77,2,313,12,
4872699,Large Home in Historical Ballard,25066447,Karen,Ballard,Ballard,47.67575024,-122.3765799,Entire home/apt,197.00,4,1,2015-02-02,0.09,1,364,1,
5470629,Ballard Garden Apartment,28375755,Barbara,Ballard,Ballard,47.67260212,-122.3884415,Entire home/apt,120.00,2,25,2015-12-20,3.39,1,234,25,
2950213,Entire artist's  apt in hip hood,15060417,Ginny,Ballard,Ballard,47.66676678,-122.3812427,Entire home/apt,200.00,2,35,2015-11-02,1.84,1,88,35,
9015088,Spacious condo with gorgeous views,29133654,Muna,Ballard,Ballard,47.67550084,-122.3889063,Entire home/apt,135.00,1,5,2016-01-02,3.95,2,266,5,
3979496,Large bright room & TV in Seattle,4807375,Jayne,Ballard,,47.67575764,-122.3787983,Private room,70.00,1,31,2015-11-07,1.89,1,365,31,
7501919,Apartment in Downtown Ballard,36085516,Jennifer,Ballard,Ballard,47.66780059,-122.3883002,Entire home/apt,150.00,2,7,2015-10-11,1.37,1,357,7,
4732995,Urban Oasis in the Heart of Ballard,19533935,Stephanie,Ballard,Ballard,47.66937129,-122.3762878,Entire home/apt,200.00,2,4,2015-12-20,0.83,1,89,4,
7134759,Master in Modern Townhouse,23228606,Elin,Ballard,Ballard,47.66896088,-122.3938769,Private room,60.00,1,16,2015-12-19,3.87,3,47,16,
4532538,Classic old Ballard home,23489864,Daniel,Ballard,Ballard,47.67168771,-122.3925586,Entire home/apt,180.00,5,1,2016-01-01,1,1,365,1,
7534398,Private bedroom in heart of Ballard,39472587,Kelly,Ballard,Ballard,47.67180998,-122.3834372,Private room,69.00,1,8,2015-12-21,3.38,1,114,8,
9387189,Party Central Studio on Ballard Ave,1539790,Alianna,Ballard,Ballard,47.66502233,-122.3827968,Entire home/apt,90.00,1,1,2015-12-05,1,1,112,1,
6337492,Nice 1 bedroom apartment in Ballard,32998581,Katelynn,Ballard,,47.66898921,-122.3951453,Entire home/apt,80.00,1,5,2015-10-10,0.65,1,149,5,
10231701,Private room & bath- Ballard,52580911,Karen,Ballard,Ballard,47.6693543,-122.3903476,Private room,65.00,1,0,,,1,176,0,
1609922,Cute Cozy Townhome in Old Ballard,3494510,Katie,Ballard,Ballard,47.67166568,-122.3779123,Entire home/apt,150.00,4,26,2015-11-29,0.96,1,16,26,
4236723,Ballard Bunkhouse - Bottom Bunk,2231298,Chris,Ballard,Ballard,47.67058142,-122.3822112,Entire home/apt,195.00,1,113,2016-01-02,7.53,2,362,113,
7843837,Charming Ballard Apartment,19001873,Kailee,Ballard,Ballard,47.67210896,-122.3835885,Entire home/apt,149.00,1,0,,,1,183,0,
3076065,Foodie Paradise near DT Seattle,15655683,Michael,Ballard,Ballard,47.67145807,-122.3791745,Entire home/apt,224.00,3,15,2015-09-21,1.22,1,365,15,
6423204,Charming 1919 cottage in Ballard,33367198,Mark And Marti,Ballard,Ballard,47.67155977,-122.382704,Entire home/apt,115.00,3,44,2015-12-27,5.87,1,54,44,
8338849,Charming Old Ballard bungalow,43954674,Brian,Ballard,Ballard,47.67283504,-122.3874716,Private room,55.00,1,7,2015-09-30,1.91,2,249,7,
6401209,Plum House - 4 bdrm Ballard luxury,28770702,Mercy,Ballard,Ballard,47.67397129,-122.3893805,Entire home/apt,338.00,3,13,2015-12-28,2.05,1,154,13,
20928,Victorian in the Heart of Ballard,79450,Brad & Liz,Ballard,Ballard,47.6736071,-122.3938029,Entire home/apt,79.00,2,44,2015-12-23,6.23,2,334,44,
3344977,Private room blocks to DT Ballard,16884006,Alex,Ballard,Ballard,47.66939869,-122.389254,Private room,80.00,1,56,2015-10-25,3.11,1,166,56,
7604621,Heart of Ballard private room,39884676,Will,Ballard,Ballard,47.6721767,-122.3903617,Entire home/apt,85.00,2,11,2015-12-23,3.55,1,89,11,
3303978,Private 1BR apartment with kitchen,16687781,Andrea,Ballard,Ballard,47.67349962,-122.3869636,Entire home/apt,80.00,2,39,2015-12-28,2.22,1,150,39,
7067082,Ballard Loft-crash pad,25171396,Heidi,Ballard,,47.66934443,-122.3865391,Private room,49.00,1,10,2015-09-28,1.68,1,344,10,
3121829,Kid friendly townhouse near it all,4152568,Barrie,Ballard,Ballard,47.6719218,-122.3806568,Entire home/apt,100.00,1,6,2015-12-30,0.34,1,240,6,
2539881,Sunny Ballard Near Everthing,12503146,Alan,Ballard,Ballard,47.66934544,-122.3969735,Entire home/apt,79.00,1,4,2015-11-29,0.2,1,2,4,
3678718,Odd Lodging in the Heart of Ballard,5776729,Ballard Odd Fellows,Ballard,Ballard,47.66746398,-122.3782553,Entire home/apt,75.00,2,79,2015-12-18,4.67,1,356,79,
4694479,Cozy Room in Heart of Ballard,20069008,Kaiser,Ballard,Ballard,47.67181197,-122.3889813,Private room,57.00,2,50,2015-12-14,5.32,2,358,50,
6646843,Sweet North Central Flat,34793330,Maya And Yoav,Ballard,Ballard,47.67082046,-122.3705111,Entire home/apt,99.00,2,28,2015-12-28,5.79,1,340,28,
1364440,Ballard Mid-Century Apartment Room,256203,Shannon,Ballard,Ballard,47.6637344,-122.3620801,Private room,55.00,2,20,2015-09-26,0.68,1,365,20,
1781873,Fremont View Apartment,2237228,Mimi,Ballard,Ballard,47.6675968,-122.3647017,Entire home/apt,96.00,2,57,2015-12-01,2.56,1,179,57,
4138423,Sunny Ballard Digs,129014,Rob And Molly,Ballard,Ballard,47.67053238,-122.3653185,Entire home/apt,99.00,1,38,2015-12-20,2.61,2,352,38,
5562674,Walk Ballard! Bright Basement 2Bdrm,28840161,Anna,Ballard,Ballard,47.66676677,-122.3688235,Entire home/apt,79.00,1,71,2015-12-13,7.2,1,162,71,
1789341,Modern Classic~Convenient~Priv Home,3979528,Amelia & Foxy,Ballard,Ballard,47.67235398,-122.3661749,Entire home/apt,115.00,3,17,2015-11-28,0.82,2,174,17,
4672934,Modern 3BR Freestanding Townhouse,19993125,Steven,Ballard,Ballard,47.66583687,-122.3701323,Entire home/apt,350.00,1,13,2016-01-02,1.06,1,352,13,
4550099,Brand-New 3BR/3BA Home w/ Roof-View,15104715,Mike & Laura,Ballard,Ballard,47.67433308,-122.375678,Entire home/apt,295.00,2,3,2015-05-26,0.22,1,0,3,
1198799,A Friendly Place in Ballard,6428916,Javier & Yeon,Ballard,Ballard,47.67269174,-122.3735586,Private room,70.00,2,19,2016-01-01,1.84,1,337,19,
5308429,Entire Private Floor:Bed&Bath Suite,7849723,Brian,Ballard,Ballard,47.67529056,-122.3704741,Private room,53.00,14,18,2016-01-02,1.65,1,168,18,
2769088,Rooftop Olympic View 4m Sunny Loft,5067360,Wendy,Ballard,Ballard,47.66899339,-122.3628603,Entire home/apt,110.00,2,12,2015-08-11,0.61,1,306,12,
7603135,Ballard Bungalow,39549545,Alex,Ballard,Phinney Ridge,47.66879475,-122.3616125,Entire home/apt,225.00,1,4,2015-09-21,0.85,1,143,4,
9374365,Gorgeous Townhome Private Room,6407320,Varun,Ballard,Ballard,47.67388232,-122.3746263,Private room,35.00,1,7,2015-12-30,3.96,1,326,7,
6106498,Home sweet home-away-from home!,31684830,Yedida,Ballard,Ballard,47.66578734,-122.3619923,Private room,55.00,1,23,2015-10-12,2.82,1,247,23,
9331449,Gorgeous Townhome Main Bdrm+Balcony,6407320,Varun,Ballard,Ballard,47.67228263,-122.3731616,Private room,45.00,1,2,2015-12-14,2,1,326,2,
8799162,Ballard studio w kitchen & bath,46108145,Mary,Ballard,Phinney Ridge,47.66835401,-122.3611388,Private room,79.00,1,0,,,1,89,0,
4317390,Comfort in Ballard/Fremont for 8!,22414188,Grace,Ballard,Ballard,47.66880846,-122.3662618,Entire home/apt,133.00,2,39,2015-12-21,2.87,1,365,39,
3884851,Large room in Ballard neighborhood,19477023,Cindy,Ballard,Ballard,47.66832396,-122.3718212,Private room,65.00,2,64,2016-01-02,3.86,1,365,64,
3155785,Artists' Retro Duplex in Ballard,9484588,Kim,Ballard,Ballard,47.6723724,-122.3628417,Private room,61.00,1,4,2015-09-07,0.82,1,125,4,
9368517,La Petite Casa Grande in Fremont,48604323,Matt And Amy,Ballard,Ballard,47.66388206,-122.3621749,Entire home/apt,200.00,4,0,,,1,30,0,
5643240,Cozy 1BD in Storybook Ballard Home,12036205,Sara,Ballard,Ballard,47.67092865,-122.3667818,Entire home/apt,70.00,5,8,2015-12-04,1.21,1,93,8,
5042014,BALLARD ART,18413215,Emiliya,Ballard,Ballard,47.67261671,-122.3743927,Private room,52.00,30,14,2015-10-26,1.25,1,308,14,
7724630,Artist's Retro Duplex,26877490,Sarah,Ballard,Ballard,47.67271728,-122.3614171,Private room,50.00,1,1,2015-09-27,0.3,1,126,1,
9449437,Gorgeous 4BR 2.5BA Townhome+Balcony,6407320,Varun,Ballard,Ballard,47.67274336,-122.3731945,Entire home/apt,275.00,1,0,,,1,232,0,
3053237,Ballard 1903 Modern Cottage,11580391,Shawn,Ballard,Ballard,47.66454921,-122.3682089,Entire home/apt,149.00,2,85,2015-12-02,4.28,1,363,85,
8132347,Seattle charmer-new remodel-Ballard,3681393,Ryan,Ballard,Ballard,47.66658567,-122.3656518,Entire home/apt,199.00,1,0,,,1,270,0,
63733,Seattle- Ballard Guestsuite -,311363,Irmgard,Ballard,Ballard,47.67171434,-122.3658876,Entire home/apt,89.00,2,125,2015-12-30,2.18,1,164,125,
